"Bot Name:","Travel Assistant"
"Report name:","travel assistance btest v1"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","07-23-2023 2:24:32 PM"
"Utterance count:","175"
"Percentage breakdown:","88.57% True Positive","0.00% True Negative","11.43% False Positive","0.00% False Negative"
"Success / Failure Ratio:","88.57"
"F1 Score:","0.94"
"Precision:","0.89"
"Recall:","1.00"
"Total Entities Count:","109"
"Matched Entities Count:","87"
"Entities Success / Failure Ration:","79.82"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"I want to change the cab booking location my contact number is 94123456789 the location is Chicago and book it with cab number CN4753","Change cab location","change cab location","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity,cabLocationEntity,cabNumberEntity","phoneNumberEntity > cabLocationEntity > cabNumberEntity","ML Engine","NER","","ML: 0.998; FM: 10447.37; RR: 10447.37","ML: 0.998; FM: 10447.37; RR: 10447.37"
"I want to change the cab booking location my contact number is 94123456789 the location is Chicago and book it with cab number CN4753","Change cab location","change cab location","None","configured","TP","cabLocationEntity","Chicago","Chicago","True","phoneNumberEntity,cabLocationEntity,cabNumberEntity","phoneNumberEntity > cabLocationEntity > cabNumberEntity","ML Engine","NER","","ML: 0.998; FM: 10447.37; RR: 10447.37","ML: 0.998; FM: 10447.37; RR: 10447.37"
"I want to change the cab booking location my contact number is 94123456789 the location is Chicago and book it with cab number CN4753","Change cab location","change cab location","None","configured","TP","cabNumberEntity","CN4753","CN4753","True","phoneNumberEntity,cabLocationEntity,cabNumberEntity","phoneNumberEntity > cabLocationEntity > cabNumberEntity","ML Engine","NER","","ML: 0.998; FM: 10447.37; RR: 10447.37","ML: 0.998; FM: 10447.37; RR: 10447.37"
"I need to change the cab's destination to Miami","Change cab location","change cab location","None","configured","TP","cabLocationEntity","Miami","Miami","True","cabLocationEntity","cabLocationEntity","ML Engine","NER","","ML: 0.893; RR: 89.3","ML: 0.893; RR: 89.3"
"I want to change the cab location to somewhere else","Change cab location","change cab location","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 0.933; FM: 10732.22; RR: 10732.22","ML: 0.933; FM: 10732.22; RR: 10732.22"
"Can you change the cab location?","Change cab location","change cab location","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 0.885; FM: 10982.22; RR: 10982.22","ML: 0.885; FM: 10982.22; RR: 10982.22"
"Can you change the cab location to San Francisco?","Change cab location","change cab location","None","configured","TP","cabLocationEntity","San Francisco","San Francisco","True","cabLocationEntity","cabLocationEntity","ML Engine","NER","","ML: 0.904; FM: 10982.22; RR: 10982.22","ML: 0.904; FM: 10982.22; RR: 10982.22"
"Please change the cab location to Los Angeles","Change cab location","change cab location","None","configured","TP","cabLocationEntity","Los Angeles","Los Angeles","True","cabLocationEntity","cabLocationEntity","ML Engine","NER","","ML: 0.893; FM: 11045.71; RR: 11045.71","ML: 0.893; FM: 11045.71; RR: 11045.71"
"Can you update the cab location to Chicago?","Change cab location","change cab location","None","configured","TP","cabLocationEntity","Chicago","Chicago","True","cabLocationEntity","cabLocationEntity","ML Engine","NER","","ML: 0.938; FM: 10982.22; RR: 10982.22","ML: 0.938; FM: 10982.22; RR: 10982.22"
"Can you change the cab location?","Change cab location","change cab location","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 0.885; FM: 10982.22; RR: 10982.22","ML: 0.885; FM: 10982.22; RR: 10982.22"
"Here's my phone number 94123456789 change my cab location","Change cab location","change cab location","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","FM Engine","systemEntity","","ML: 0.835; FM: 10630.51; RR: 10630.51","ML: 0.835; FM: 10630.51; RR: 10630.51"
"I want to change the cab location and cab number is CN4753","Change cab location","change cab location","None","configured","TP","cabNumberEntity","CN4753","CN4753","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 0.863; FM: 10732.22; RR: 10732.22","ML: 0.863; FM: 10732.22; RR: 10732.22"
"Could you please modify the cab location to Tokyo?","Change cab location","change cab location","None","configured","TP","cabLocationEntity","Tokyo","None","False","cabLocationEntity","cabLocationEntity","","","","ML: 0.87; FM: 11045.71; RR: 11045.71","ML: 0.87; FM: 11045.71; RR: 11045.71"
"Can I change the cab's destination to Berlin?","Change cab location","change cab location","None","configured","TP","cabLocationEntity","Berlin","None","False","cabLocationEntity","cabLocationEntity","","","","ML: 0.868; RR: 86.8","ML: 0.868; RR: 86.8"
"Can you update the cab booking location?","Change cab location","change cab location","None","configured","TP","","","","","","phoneNumberEntity","","","","FM: 10693.33; RR: 10693.33","FM: 10693.33; RR: 10693.33"
"Need to cancel my flight the flight number is AA123","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AA123","AA123","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 98; FM: 10726.67; RR: 98","ML: 98; FM: 10726.67; RR: 98"
"I would like to cancel my flight reservation my contact number 94123456789","Cancel Flight","cancel flight","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; FM: 11693.33; RR: 11693.33","ML: 1; FM: 11693.33; RR: 11693.33"
"Cancel my AI2145","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.987; RR: 98.7","ML: 0.987; RR: 98.7"
"I need to cancel the flight AI2145","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 1; FM: 10951.27; RR: 10951.27","ML: 1; FM: 10951.27; RR: 10951.27"
"Can you help me cancel my flight AI2145?","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.937; FM: 10793.33; RR: 10793.33","ML: 0.937; FM: 10793.33; RR: 10793.33"
"Please cancel my flight AI2145","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 1; FM: 11429.05; RR: 11429.05","ML: 1; FM: 11429.05; RR: 11429.05"
"Please help me cancel my flight AI2145 with 94123456789","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.875; FM: 10851.27; RR: 10851.27","ML: 0.875; FM: 10851.27; RR: 10851.27"
"Please help me cancel my flight AI2145 with 94123456789","Cancel Flight","cancel flight","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.875; FM: 10851.27; RR: 10851.27","ML: 0.875; FM: 10851.27; RR: 10851.27"
"I want to cancel my flight AI2145 with 94123456789","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.86; FM: 10951.27; RR: 10951.27","ML: 0.86; FM: 10951.27; RR: 10951.27"
"I want to cancel my flight AI2145 with 94123456789","Cancel Flight","cancel flight","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.86; FM: 10951.27; RR: 10951.27","ML: 0.86; FM: 10951.27; RR: 10951.27"
"Can I cancel my flight booking AI2145","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.883; FM: 10926.67; RR: 10926.67","ML: 0.883; FM: 10926.67; RR: 10926.67"
"Can you cancel my flight for me","Cancel Flight","cancel flight","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; FM: 11326.67; RR: 100","ML: 100; FM: 11326.67; RR: 100"
"My phone number is 94123456789 can you cancel my flight?","Cancel Flight","cancel flight","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; FM: 10679; RR: 10679","ML: 1; FM: 10679; RR: 10679"
"Can you cancel my flight AI2145 with 94123456789?","Cancel Flight","cancel flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.915; FM: 11326.67; RR: 11326.67","ML: 0.915; FM: 11326.67; RR: 11326.67"
"Can you cancel my flight AI2145 with 94123456789?","Cancel Flight","cancel flight","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.915; FM: 11326.67; RR: 11326.67","ML: 0.915; FM: 11326.67; RR: 11326.67"
"Please cancel my flight reservation","Cancel Flight","cancel flight","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; FM: 11029.05; RR: 100","ML: 100; FM: 11029.05; RR: 100"
"I want to cancel my flight","Cancel Flight","cancel flight | modify flight details","None","configured | configured","FP","","","","","","phoneNumberEntity","","","","FM: 10951.27; RR: 10951.27 | ML: 0.988; RR: 98.8","FM: 10951.27; RR: 10951.27"
"Can I cancel my flight?","Cancel Flight","cancel flight | modify flight details","None","configured | configured","FP","","","","","","phoneNumberEntity","","","","FM: 11326.67; RR: 11326.67 | ML: 98; RR: 98","FM: 11326.67; RR: 11326.67"
"Can I cancel the cab with phone number 942823485678?","Cancel Cab","cancel cab","None","configured","TP","phoneNumberEntity","942823485678","942823485678","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 0.881; FM: 11326.67; RR: 11326.67","ML: 0.881; FM: 11326.67; RR: 11326.67"
"I'd like to cancel the cab I requested cab number is CN4753","Cancel Cab","cancel cab","None","configured","TP","cabNumberEntity","CN4753","CN4753","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 0.994; FM: 11893.33; RR: 11893.33","ML: 0.994; FM: 11893.33; RR: 11893.33"
"I need to cancel the cab I booked with phone number 94123456789","Cancel Cab","cancel cab","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; FM: 10951.27; RR: 10951.27","ML: 1; FM: 10951.27; RR: 10951.27"
"My contact number is 94123456789 cancel my cab","Cancel Cab","cancel cab","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","FM Engine","systemEntity","","ML: 0.922; FM: 10647.37; RR: 10647.37","ML: 0.922; FM: 10647.37; RR: 10647.37"
"Stop the cab I booked. My phone number is 94123456789 and cab number is CN4753","Cancel Cab","cancel cab","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity,cabNumberEntity","phoneNumberEntity > cabNumberEntity","ML Engine","NER","","ML: 0.9; RR: 90","ML: 0.9; RR: 90"
"Stop the cab I booked. My phone number is 94123456789 and cab number is CN4753","Cancel Cab","cancel cab","None","configured","TP","cabNumberEntity","CN4753","CN4753","True","phoneNumberEntity,cabNumberEntity","phoneNumberEntity > cabNumberEntity","ML Engine","NER","","ML: 0.9; RR: 90","ML: 0.9; RR: 90"
"Please cancel the cab with number CN4753","Cancel Cab","cancel cab","None","configured","TP","cabNumberEntity","CN4753","CN4753","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 0.991; FM: 11429.05; RR: 11429.05","ML: 0.991; FM: 11429.05; RR: 11429.05"
"I don't want a cab","Cancel Cab","cancel cab","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"I would like to cancel my cab with phone number 942823485678","Cancel Cab","cancel cab","None","configured","TP","phoneNumberEntity","942823485678","942823485678","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","FM: 11893.33; RR: 11893.33","FM: 11893.33; RR: 11893.33"
"Cab CN4753 needs to be cancelled here's my contact number 94123456789","Cancel Cab","cancel cab","None","configured","TP","cabNumberEntity","CN4753","CN4753","True","cabNumberEntity,phoneNumberEntity","cabNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Cab CN4753 needs to be cancelled here's my contact number 94123456789","Cancel Cab","cancel cab","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","cabNumberEntity,phoneNumberEntity","cabNumberEntity > phoneNumberEntity","FM Engine","systemEntity","","ML: 1; RR: 100","ML: 1; RR: 100"
"Can you help me cancel the cab","Cancel Cab","cancel cab","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 0.987; FM: 10793.33; RR: 10793.33","ML: 0.987; FM: 10793.33; RR: 10793.33"
"I want to cancel the cab I booked","Cancel Cab","cancel cab","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; FM: 10951.27; RR: 100","ML: 100; FM: 10951.27; RR: 100"
"Cancel the cab I ordered","Cancel Cab","cancel cab","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; FM: 11576.67; RR: 100","ML: 100; FM: 11576.67; RR: 100"
"I need to cancel my cab booking","Cancel Cab","cancel cab | modify cab details","None","configured | configured","FP","","","","","","phoneNumberEntity","","","","FM: 10751.27; RR: 10751.27 | ML: 0.993; RR: 99.3","FM: 10751.27; RR: 10751.27"
"Can you help me cancel the cab?","Cancel Cab","cancel cab","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 0.987; FM: 10793.33; RR: 10793.33","ML: 0.987; FM: 10793.33; RR: 10793.33"
"Please cancel the taxi ride","Cancel Cab","cancel cab","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 0.796; RR: 79.60000000000001","ML: 0.796; RR: 79.60000000000001"
"I'm looking to reserve a flight","Book Flight","book flight","None","configured","TP","","","","","","flightNumberEntity","","","","ML: 100; FM: 11038.15; RR: 100","ML: 100; FM: 11038.15; RR: 100"
"I need to reserve a flight immediately","Book Flight","book flight","None","configured","TP","","","","","","flightNumberEntity","","","","ML: 100; FM: 11495.29; RR: 100","ML: 100; FM: 11495.29; RR: 100"
"Is it possible to book a flight with AA123","Book Flight","book flight","None","configured","TP","flightNumberEntity","AA123","AA123","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 100; RR: 100","ML: 100; RR: 100"
"I'd like to book a flight","Book Flight","book flight","None","configured","TP","","","","","","flightNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can you help me book a flight","Book Flight","book flight","None","configured","TP","","","","","","flightNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Need to book flight with number AA123","Book Flight","book flight","None","configured","TP","flightNumberEntity","AA123","AA123","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 97; RR: 97","ML: 97; RR: 97"
"Can you book me a flight with flight number AA123","Book Flight","book flight","None","configured","TP","flightNumberEntity","AA123","AA123","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 98; RR: 98","ML: 98; RR: 98"
"Please book me a flight","Book Flight","book flight","None","configured","TP","","","","","","flightNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"The flight number is AA123 book me a flight","Book Flight","book flight","None","configured","TP","flightNumberEntity","AA123","AA123","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 100; RR: 100","ML: 100; RR: 100"
"Reserve a ticket on flight AI2145","Book Flight","book flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.847; FM: 11536.67; RR: 11536.67","ML: 0.847; FM: 11536.67; RR: 11536.67"
"Find me a flight AI2145","Book Flight","book flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.848; RR: 84.8","ML: 0.848; RR: 84.8"
"I need to book a ticket for flight AI2145","Book Flight","book flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.924; RR: 92.4","ML: 0.924; RR: 92.4"
"I want to book a flight","Book Flight","book flight","None","configured","TP","","","","","","flightNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Book me a flight","Book Flight","book flight","None","configured","TP","","","","","","flightNumberEntity","","","","ML: 0.921; RR: 92.10000000000001","ML: 0.921; RR: 92.10000000000001"
"I want to book a flight with number AI2145","Book Flight","book flight","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.962; RR: 96.2","ML: 0.962; RR: 96.2"
"Can you hire me a cab? its CN1285","Book Cab","book cab","None","configured","TP","cabNumberEntity","CN1285","CN1285","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 0.912; FM: 12115.63; RR: 12115.63","ML: 0.912; FM: 12115.63; RR: 12115.63"
"Could you help book a car for 5 passengers?","Book Cab","book cab","None","configured","TP","","","","","","cabNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"Cab CN1285 needs to be booked","Book Cab","book cab","None","configured","TP","cabNumberEntity","CN1285 ","CN1285","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 97; RR: 97","ML: 97; RR: 97"
"I need to book a cab with cab number CN1285","Book Cab","book cab","None","configured","TP","cabNumberEntity","CN1285","CN1285","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 98; RR: 98","ML: 98; RR: 98"
"Please book cab CN1285","Book Cab","book cab","None","configured","TP","cabNumberEntity","CN1285","CN1285","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Can you book a cab? the cab number is CN1285","Book Cab","book cab","None","configured","TP","cabNumberEntity","CN1285","CN1285","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 0.91; RR: 91","ML: 0.91; RR: 91"
"I need to book a cab now","Book Cab","book cab","None","configured","TP","","","","","","cabNumberEntity","","","","ML: 0.912; RR: 91.2","ML: 0.912; RR: 91.2"
"Please book me a cab with cab number CN1285","Book Cab","book cab","None","configured","TP","cabNumberEntity","CN1285","CN1285","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 0.941; RR: 94.1","ML: 0.941; RR: 94.1"
"Can I book a cab with CN1285","Book Cab","book cab","None","configured","TP","cabNumberEntity","CN1285","CN1285","True","cabNumberEntity","cabNumberEntity","ML Engine","NER","","ML: 96; RR: 96","ML: 96; RR: 96"
"I want to hire a cab","Book Cab","book cab","None","configured","TP","","","","","","cabNumberEntity","","","","ML: 0.931; RR: 93.10000000000001","ML: 0.931; RR: 93.10000000000001"
"Can you arrange a cab for me?","Book Cab","book cab","None","configured","TP","","","","","","cabNumberEntity","","","","ML: 0.912; RR: 91.2","ML: 0.912; RR: 91.2"
"Book a car for me","Book Cab","book cab","None","configured","TP","","","","","","cabNumberEntity","","","","ML: 0.688; RR: 68.8","ML: 0.688; RR: 68.8"
